가감양격산,1786,3546,2953,NNP,*,T,가감양격산,Compound,*,*,*,가감/NNP/*+양격/NNP/*+산/NNP/*
가감팔미원,1786,3546,2953,NNP,*,T,가감팔미원,Compound,*,*,*,가감/NNP/*+팔미원/NNP/*
가동,1786,3546,2649,NNP,*,T,가동,*,*,*,*,가동/NNP/*
가동범위,1786,3545,2953,NNP,*,F,가동범위,Compound,*,*,*,가동/NNP/*+범위/NNP/*
가래,1786,3545,3028,NNP,*,F,가래,*,*,*,*,가래/NNP/*
가려움증,1786,3546,2953,NNP,*,T,가려움증,*,*,*,*,가려움증/NNP/*
가미강활속단탕,1786,3546,2953,NNP,*,T,가미강활속단탕,Compound,*,*,*,가미/NNP/*+강활/NNP/*+속단/NNP/*+탕/NNP/*
가미공진단,1786,3546,2953,NNP,*,T,가미공진단,Compound,*,*,*,가미/NNP/*+공진단/NNP/*
가미곽정탕,1786,3546,2953,NNP,*,T,가미곽정탕,Compound,*,*,*,가미/NNP/*+곽정/NNP/*+탕/NNP/*
가미귀비탕,1786,3546,2953,NNP,*,T,가미귀비탕,Compound,*,*,*,가미/NNP/*+귀비탕/NNP/*
가미당귀작약산,1786,3546,2953,NNP,*,T,가미당귀작약산,Compound,*,*,*,가미/NNP/*+귀작/NNP/*+약산/NNP/*
가미대강활탕,1786,3546,2953,NNP,*,T,가미대강활탕,Compound,*,*,*,가미/NNP/*+강활/NNP/*+탕/NNP/*
가미대보탕,1786,3546,2953,NNP,*,T,가미대보탕,Compound,*,*,*,가미/NNP/*+대보탕/NNP/*
가미방,1786,3546,2953,NNP,*,T,가미방,*,*,*,*,미방/NNP/*
가미보익탕,1786,3546,2953,NNP,*,T,가미보익탕,Compound,*,*,*,가미/NNP/*+보익/NNP/*+탕/NNP/*
가미보중익기탕,1786,3546,2953,NNP,*,T,가미보중익기탕,Compound,*,*,*,가미/NNP/*+보중익기탕/NNP/*
가미사육탕,1786,3546,2953,NNP,*,T,가미사육탕,Compound,*,*,*,미사/NNP/*+육탕/NNP/*
가미사칠탕,1786,3546,2953,NNP,*,T,가미사칠탕,Compound,*,*,*,가미/NNP/*+사/NNP/*+칠/NNP/*+탕/NNP/*
가미생화탕,1786,3546,2953,NNP,*,T,가미생화탕,Compound,*,*,*,가미/NNP/*+탕/NNP/*
가미서경탕,1786,3546,2953,NNP,*,T,가미서경탕,Compound,*,*,*,가미/NNP/*+서경/NNP/*+탕/NNP/*
가미소담제습탕,1786,3546,2953,NNP,*,T,가미소담제습탕,Compound,*,*,*,가미/NNP/*+소담/NNP/*+제습/NNP/*+탕/NNP/*
가미소요산,1786,3546,2953,NNP,*,T,가미소요산,Compound,*,*,*,가미/NNP/*+소요산/NNP/*
가미소풍활혈탕,1786,3546,2953,NNP,*,T,가미소풍활혈탕,Compound,*,*,*,가미/NNP/*+소풍활혈탕/NNP/*
가미십전탕,1786,3546,2953,NNP,*,T,가미십전탕,Compound,*,*,*,가미/NNP/*+십/NNP/*+전탕/NNP/*
가미쌍화탕,1786,3546,2953,NNP,*,T,가미쌍화탕,Compound,*,*,*,가미/NNP/*+쌍화탕/NNP/*
가미영선제통음,1786,3546,2953,NNP,*,T,가미영선제통음,Compound,*,*,*,가미/NNP/*+영선/NNP/*+통음/NNP/*
가미온담탕,1786,3546,2953,NNP,*,T,가미온담탕,Compound,*,*,*,가미/NNP/*+온담탕/NNP/*
